grid,laps,year,round,driver_age,driver_experience,constructor_experience,constructorId,circuitId,avg_grid_last_5_cat,avg_finish_last_5_cat,podium_finish
16,0,1952,6,36,1,60,105,20,back,weak,0
18,27,1988,12,29,118,11,48,14,back,weak,0
10,52,2021,15,34,272,39,117,71,back,weak,0
21,23,1986,9,27,83,30,18,38,back,weak,0
17,1,1981,12,28,14,451,32,39,back,weak,0
14,45,2001,12,37,196,154,20,10,back,average,0
16,78,2005,6,30,71,1146,1,6,mid,strong,0
14,0,1995,16,27,60,158,29,22,back,weak,0
11,25,1951,8,34,5,15,141,67,back,weak,0
12,59,2012,14,33,170,26,208,15,mid,strong,0
16,70,2021,11,21,10,55,213,11,mid,weak,0
26,26,1990,6,24,9,42,46,32,back,weak,0
12,0,1982,5,31,5,106,54,40,back,weak,0
4,53,1997,16,29,97,898,1,22,front,weak,0
10,7,1987,11,28,101,533,34,14,mid,weak,0
16,46,1951,5,44,0,42,105,9,back,weak,0
11,58,2023,22,38,331,602,131,24,mid,average,0
11,57,1974,10,34,49,119,1,38,mid,weak,0
0,0,1984,12,27,10,431,25,70,back,weak,0
15,54,1982,11,26,22,366,25,34,back,weak,0
15,56,2008,17,37,245,140,9,17,back,weak,0
19,8,1997,16,34,95,399,18,22,back,weak,0
8,56,2024,5,26,108,613,131,17,mid,average,0
14,56,1999,15,32,96,288,17,2,front,average,0
8,29,2000,6,35,102,10,19,20,mid,weak,0
17,65,2016,5,25,4,596,4,4,back,weak,0
16,6,1971,7,28,67,53,82,20,mid,weak,0
0,0,2000,2,34,78,229,15,18,mid,weak,0
0,0,1961,2,31,10,8,172,39,back,weak,0
13,78,2009,6,36,219,47,10,6,back,weak,0
9,55,2010,19,25,88,78,131,24,mid,weak,0
14,38,1950,4,34,2,10,154,66,back,average,0
16,60,2008,9,36,261,133,11,9,back,average,1
10,64,1996,7,28,72,848,1,4,mid,average,0
23,77,1981,8,25,4,330,25,41,back,weak,0
10,52,2002,17,22,50,264,4,22,back,weak,0
1,45,1979,13,37,34,44,4,14,front,weak,0
14,77,1993,16,27,31,512,27,29,back,weak,0
15,1,2006,8,23,7,15,5,9,back,weak,0
11,77,1992,6,36,174,43,29,6,back,average,0
4,2,1987,3,28,38,1067,6,13,mid,weak,0
9,0,2005,9,29,59,906,3,19,mid,average,0
9,57,2007,1,32,163,177,7,1,mid,weak,0
10,52,2006,17,21,16,959,3,22,back,weak,0
6,70,1975,6,33,45,214,34,40,mid,strong,1
0,0,1981,5,35,1,87,54,40,back,weak,0
5,67,1985,2,29,60,1001,6,27,mid,strong,1
6,29,2002,15,23,31,1061,1,14,mid,average,0
0,0,1978,16,35,69,16,60,7,back,weak,0
1,64,1971,10,32,72,22,25,48,front,average,1
5,99,1955,2,34,23,201,105,6,back,weak,1
11,56,2018,18,24,77,704,4,69,back,average,0
21,39,1994,12,28,43,743,25,14,back,weak,0
20,55,1984,9,27,18,193,21,42,back,weak,0
16,55,2009,17,29,43,69,10,24,back,weak,0
13,21,1987,1,28,91,513,34,36,back,weak,0
2,58,2019,1,30,119,397,131,1,front,strong,1
12,70,2001,3,30,84,70,16,18,mid,weak,0
10,6,2003,8,36,150,344,15,7,back,weak,0
0,0,1982,14,28,12,142,21,41,back,weak,0
0,0,1981,2,28,35,359,37,36,back,weak,0
13,5,1985,16,27,93,242,51,29,back,weak,0
9,77,2005,6,34,139,408,15,6,back,weak,0
1,61,1954,4,43,27,1,131,55,front,strong,1
25,200,1960,3,34,4,0,112,19,back,weak,0
19,53,2007,5,24,4,8,12,6,back,weak,0
9,4,1958,8,37,50,28,66,20,mid,weak,0
7,55,2011,16,26,104,110,131,35,back,weak,0
2,77,1996,12,36,68,612,3,11,front,strong,1
5,78,2017,6,28,114,460,9,6,front,average,1
16,11,1996,13,24,27,186,29,13,back,weak,0
11,23,1993,6,27,51,11,15,6,mid,weak,0
9,14,1968,6,39,96,38,180,53,mid,average,0
13,63,1967,11,27,15,127,167,32,back,average,0
5,22,1953,3,31,10,78,105,39,front,strong,0
18,66,1989,4,25,3,102,22,32,back,weak,0
1,72,2021,13,24,131,633,9,39,front,average,1
5,78,2016,6,29,101,310,10,6,mid,weak,0
16,59,2004,7,23,22,373,15,20,back,average,0
16,77,1997,11,26,10,21,20,11,back,weak,0
16,70,2022,9,35,286,71,117,7,mid,weak,0
19,52,1974,15,30,61,211,32,46,mid,average,0
26,0,1962,6,26,7,107,172,20,back,weak,0
24,53,2010,3,26,2,5,166,2,back,weak,0
11,27,1993,1,39,99,153,33,30,back,weak,0
16,56,2022,5,30,124,252,210,79,back,weak,0
0,0,1964,2,27,22,160,66,39,mid,weak,0
3,37,1974,12,28,54,123,1,70,front,weak,0
10,59,1991,10,32,83,627,34,11,back,weak,0
20,50,2002,4,24,20,573,21,21,back,weak,0
11,77,2005,6,24,39,407,15,6,back,average,0
12,3,2018,19,37,311,1661,1,32,back,weak,0
3,53,2003,16,30,15,64,7,22,mid,weak,0
1,70,1979,6,36,71,60,27,40,front,weak,1
16,3,1987,1,27,0,47,18,36,back,weak,0
8,44,2000,13,33,110,317,17,13,back,weak,0
3,56,2017,17,28,94,347,131,69,front,strong,0
1,80,1977,4,28,73,762,6,43,front,average,1
5,53,1989,15,35,191,392,3,22,mid,average,1
14,21,1953,1,29,0,27,141,25,back,weak,0
7,73,2005,9,33,207,1667,6,19,back,strong,1
4,66,2005,5,30,131,111,7,4,mid,average,0
18,53,2018,11,20,30,1399,3,10,back,weak,0
